,content,cnt,model_output
0,高雄市?市長韓國瑜昨宣布的原住民委員會主委林國權，因吸金官司爭議，今早宣佈放棄職務。韓國瑜今下午表示，他徵詢林時，沒問林是否有官司，以後徵詢新成員時，會問有無前科、官司，「我會記取教訓，內閣閣員操守不容懷疑。」 韓國瑜今下午開記者會，回應媒體提問，因林國權事件，曾與他直播的網紅館長稱會反他、名嘴朱學恒也反諷他蜜月期結束了。韓國瑜說，他沒看網路館長直播，但大家對高雄市府內閣要求高，這是好事，他們以後用人會更小心謹慎，在他當選那天起，他就知自己無蜜月期。 韓國瑜說，他徵詢林國權時，只有詢問他有關專業、熱情、理想，不知林有官司，也因此事發生後，林國權指不願給市府團隊困擾，主動退出，如果以後司法證明清白，林國權願重新爭取為高雄市民服務的機會，我們會很感謝。 韓國瑜說，經林國權事件後，「我會記取教訓，內閣閣員操守不容懷疑」，以後徵詢時，會問對方有無前科、官司，或法律等其他問題。 媒體問韓是否可能延攬選舉期間競爭對手陳其邁?韓國瑜說，「我只怕落花有意，流水無情。」他非常希望能借重陳其邁在觀光、醫療方面專才，若陳其邁能幫忙，他非常樂意，「現剛選完，讓陳其邁先沈澱一下。」對此，陳其邁及陣營人士都不願回應 韓國瑜說，最近高雄對外飛機票漲價，不管直接或間接，大家愈來愈重視高雄投資環境，他希望高雄氣勢不要只是曇花一現，百工百業一定要重視品質。 韓國瑜指，最近新加坡有個大型MALL董座，詢問高雄農漁產品品項，他委由議員陳麗娜帶農漁會代表去說明，未來高市府農漁產品，不容任何人剝削，就只有三點一線，市府帶頭搶訂單，中間有農漁會組織體，接下來就是生產者。在縣市合作方面，韓國瑜說，他目前還沒上任，但媒體報導，包括屏東、台南與桃園市，還有某一東部縣市首長致電他，都欲與高雄合作，共同推銷農漁產品，「歡迎大家把心胸打開，為民眾謀福。」 韓國瑜說，新年元旦高雄跨年晚會，已被某媒體包下，但農曆新年，高雄市府會自己辦一個快樂跨年晚會，結合樂團、模特兒、婚紗等，讓高雄這個城市充滿快樂。（吳慧芬、吳柏源、吳世龍／高雄報導）,2,"['朱學恒', '林國權', '陳其邁', '陳麗娜', '韓國瑜']"
1,〔記者邱安琪、陳星苓、楊佳慧／綜合報導〕國民黨前立委李和岳涉嫌以人頭詐領助理費五三二萬餘元，用以支付前妻每月十萬元贍養費及出國旅費，李雖否認不法，但因證人指證等證據，檢方九月依貪污治罪條例等罪將他起訴。新北地院原訂昨下午開準備程序庭，李和岳沒請假、無故不到庭，法官將囑託警方拘提他來開庭！  據了解，檢方偵辦時，李和岳僅到案一次，檢方原想安排他與證人對質，但他並未現身；法院昨日下午開庭，經合法傳喚，李仍無故未到，法官定於二十六日再開庭，將囑託李住居所轄區的汐止警分局進行拘提，並通知具保人督促李到案，若經合法傳喚、拘提無著，合議庭認已逃亡或藏匿，將依法發佈通緝。 地方人士︰很久沒看到李 記者致電李和岳與昔日的國會助理，但都聯絡不上。汐止區地方人士表示，李和岳自從立委敗選後已淡出政壇，曾與李互動的地方人士已許久沒看到他。有不具名的人士透露，李和岳敗選後，聽說到美國一段時間，他回國後也沒有再聯絡。 檢調調查，二○○七年一月至二○一六年一月，李和岳涉指示辦公室殷姓女主任、董姓及丁姓助理，以三人配偶提供個人帳戶，擔任掛名人頭助理，每月向立院申報公費助理補助費約兩萬至八萬元不等，虛偽申報合計五三二萬三九四元，用以支付前妻每月十萬元贍養費及出國旅費。檢方今年九月依貪污治罪條例、偽造文書罪嫌起訴李和岳。,2,['李和岳']
2,這是測試文章,2,[]
3,"MSCI明晟季度調整於台股27日收盤後生效，壓抑了整天的成交動能到了尾盤終於掀開鍋蓋，出現一盤逾360億元大量。法人指出，隨中美貿易戰變數反覆測試市場抗壓性，資金面上令人忌憚的MSCI調整也暫告段落，眼前變數有望逐步消除，台股本次鐵板區幾乎已順利守住。 ■眼前變數有望逐步消除台股本次在MSCI全球新興市場指數權重由10.98％下調至10.71％、調降0.27個百分點，MSCI亞洲除日本指數權重由12.88％下調至12.71％、降0.17個百分點，「雙降」不只與市場預期相符，且幅度甚輕。台股27日尾盤爆出逾360億元成交量，帶動加權指數終場上漲32.66點、收10,387.23點，收復年線，全日成交金額1,208億元。特別的是，被MSCI小幅調降權重的台積電反而逆勢走揚，由平盤拉升0.6％，收250元，尾盤成交3.6萬張，占全日成交量72％，成了台股上漲的主要貢獻者。外資分析，台股展現神龍擺尾向上，主要原因有二：首先，先前受中美貿易戰變數衝擊，導致加權指數回檔，主動型基金波段已調節不少部位，外資27日雖續賣超台股84億元，但細究買賣組成，分別是買進472億元、賣出557億元，均屬大量，部分資金適度進場承接。其次，不少主動型基金在台股下跌過程中，為了規避中美貿易戰風險，投資組合中許多個股的持股部位已遭超賣，趁著尾盤的被動型基金賣壓，正好回補部分持股。 ■MSCI權重升5檔、降13檔本次MSCI調整中，台股有五檔獲得調升權重，依調升權重高至低排序有臻鼎-KY、台灣大、群光、中裕及研華。權重調升最多的臻鼎-KY，在最一盤成交量爆出5,641張，終場上漲0.85％，收在118元；台灣大最後一盤達3,504張成交量，收在平盤110元；群光則爆出1,673張，最後一盤往上跳升0.6元，甩尾上漲幅度較大，終場上漲2元、收88.2元。 MSCI季度調整另有13檔個股遭降權重，依序有聯電、台積電、南亞科、聯發科、鴻海、台塑、中華電、和碩、穩懋、開發金、台新金、日月光投控、國巨。整體而言，台股遭調整權重個股的表現，並無過度激情，接下來將回歸基本面與貿易戰消息面變化主導行情。",1,[]
4,檢調偵辦「三鑫集團」以投資俄羅斯賭場等名目吸金12億元案，發現三鑫集團負責人曾裕仁去年因債務糾紛，當街遭人強押上車痛毆後，隨即逃匿遭通緝後，又查出碩豐數位科技前經理王妤昆，涉入三鑫吸金案，但吳亦在去年逃匿大陸，檢方已對謝發布通緝，調查局將曾、謝2人列為「外逃要犯名單」積極追緝中。據調查，有吸金詐騙前科的曾裕仁，曾任職日月光集團工程師，後來與簡姓女友等人成立三鑫集團，自2016年1月起以「圈購」台灣上市櫃公司股票、投資俄羅斯海參崴賭場、礦石、黃金等名義，用10％利率向民眾吸金，甚至推出「多元投資」方案，吸引不少民眾投資。但前年9月間，曾男等人以公司虧損為由，發放紅利不穩定，甚至傳出公司將解散，檢調接獲檢舉，懷疑陳男非法向民眾吸收資金及詐騙，涉犯銀行法及刑法詐欺等罪嫌，至去年8月止，陳男等人吸金金額逾新台幣12億元。去年8月，曾男因債務糾紛，在高雄市當街遭人強押上車，並痛毆一頓，警方獲報趕往現場，攔下車輛，發現陳男頭破血流躺在車內，警方將7名涉案男子帶回警局調查。曾男事後人間蒸發，檢調懷疑他逃往大陸藏匿，今年2月通緝曾男。檢調擴大清查後，又出現，興櫃公司碩豐數位科技前經理王妤昆，也是曾裕仁三鑫集團吸金12億元案的共犯，但他早在案發前，去年9月就離境赴大陸，檢方也對他發布通緝。,1,"['曾裕仁', '王妤昆', '謝發布', '陳男頭']"
5,隨著數位科技不斷更新，駭客攻擊手法也持續演變，各企業組織的資安需求相伴而生。安碁資訊（6690），看準資安是未來一大趨勢，以SOC（資安監控防護中心）服務領導廠身份，掛牌一年多後，預計將於Q4掛牌上櫃，也是首家以資安監控委外服務商（MSSP，Managed Security Service Provider）上櫃的資安服務公司，總經理林孟勳預估，未來各國資安需求提高，安碁資訊的舞台將會越大。安碁資訊從機房代管起家，十年有成，已然雄踞台灣資安市場的翹楚地位。更持續交出漂亮成績，光是今年一月到八月的累計營收則為三·六五億元，同比年成長率高達二五·三％；另外，今年八月營收?·四五億元，相較去年同期?·四一億元，成長一?％，均優於產業平均水準。安碁資訊的客戶群七五％來自政府各部會組織，其餘以半導體大廠、銀行金融業與製造、流通業等為主，專攻資訊安全整合性監控及防護、資訊安全專業顧問及資訊安全平台建置服務。<BR>根據IEK產業情報中指出，台灣資安產業規模今年將達四四八億元新台幣，年增一二·四％，明年更將達五五?億元，其中資安服務需求成長動能最強，在二?二?年預估可達一八一·五億元。?駭客多元演進<BR>安全隱私日增顧慮?近年數家指標性企業因遭駭客入侵多筆用戶資料遭竊取，不只將顧客隱私暴露於風險中，企業本身也可能面臨巨額罰金以及名譽受損。根據網路安全解決方案廠商Check Point在二?一九年六月的數據顯示，依不同惡意軟體來看，綜觀台灣企業受到惡意軟體攻擊的比例，可達全球的四倍到數十倍之多，可見台灣是國際駭客熱門攻擊目標之一。?總經理林孟勳表示，安碁資訊優勢在於國內客戶數最多，一天約處理高達一三??萬筆資料，事件涵蓋範圍最廣、處理經驗豐富的SOC服務廠商，來自各領域的專業人才從挑選、培訓、演練，培養上百人的資安團隊，專業技術的培訓與技術認證，服務皆以客戶需求為最先考量，提供企業客戶全方位的資安防禦專業服務。?▲安碁資訊總經理林孟勳?另外，隨著東協十國是近年來經濟成長最快的區域之一，總人口達六·三億的東協正處於物聯網經濟快速發展的階段，加上歐盟GDPR規範已上路一年。尤其針對歐美旅客喜愛前往的泰國，觀光旅遊業的資安需求增加。安碁資訊於二?一七年以產業領導者姿態，將觸角前進東協，與泰國上市集團PT公司DataPro結盟拓展海外業務，未來也將積極佈局印尼、越南、馬來西亞等市場提供資訊網路保全服務。?資安漏洞毀信譽<BR>企業一次也經不起?近年最大資安事件Facebook，多達五千萬用戶帳號遭駭客入侵，造成當日股價大跌，其創辦人楊佳誠也喊出「future is private」意指，未來是屬於隱私的。根據KPMG全球總部發佈《2019KPMG全球CEO前瞻大調查》報告，有高達六九％的CEO（相較於去年為五五％）表示研擬嚴密的數位資訊安全策略為首要目標，且七一％的CEO將資訊安全視為廣義創新策略的關鍵因素。?反觀國內企業，雖然體認到資訊安全的重要性，但仍僅抱持防禦降損的心態，較為消極。總經理林孟勳認為，企業應將資安視為「投資」而非花費，做好資安防護才能確保企業競爭力。他補充，安碁資訊在資訊安全防護領域深耕多年，由專業資安人員寫下至少數以千計的規則上平台，以應付瞬息萬變的攻擊，可分為事前預防、事中偵測及事後應變三階段。目前的服務大約八?％依靠人力、二?％工具，但未來希望透過威脅情資AI分析平台結合大數據，透過海量資料分析預先找出可以情資研擬出攻防策略化被動為主動，更進一步善用工具，調降人力的百分比，讓專業人才能夠深耕技術養成與業務開發。??更多關於安碁資訊＆2019資訊安全論壇：http://events.businesstoday.com.tw/2019/ACSI/?? <!--,1,[]
6,2019.12.10 09:20劉佳彬大跳性感街舞被誤認姐姐謝金燕文｜娛樂組全文朗讀00:00 / 00:00劉佳彬趁勝追擊推出第三主打〈高貴氣〉，重現秀場女王氣勢。（萊格悠提供）自稱「華語樂壇最資深新人」劉佳彬（Jessie）睽違24年再度出輯《傻傻的花》，推出〈西施特〉〈傻傻的花〉兩首暢銷曲後，趁勝追擊推出第三波主打歌〈高貴氣〉，在MV中重現秀場女王氣勢，並首度挑戰性感街舞，不僅扭動水蛇腰，還大秀M字腿，甚至奮不顧身撐地抬腿，令人目不轉睛，她笑說：「為了讓大家耳目一新，在大目老師的調教下，我人生首次挑戰最流行的街舞。」劉佳彬透露，苦練三個禮拜，好幾次全身瘀青受傷，但都不放棄，有時還跌個狗吃屎，但堅持的毅力讓老師和舞者都佩服，還要她不要再跳了，要她「小心點」，但劉佳彬驕傲說：「有夢就去追，美到六十歲！」此舉獲得網友支持，有歌迷說：「以為是謝金燕姐姐，舞跳得超棒，給你一百分！」劉佳彬於17歲在日本以玉女偶像之姿出道，80年代回台，趕上秀場全盛時期，搖身變為秀場女王，事業轉型後，遭逢火災變故，一夕之間負債1億元，後來成為心理諮商老師，努力還完債務，被譽為「理債女王」。一路走來，劉佳彬沒有忘記愛音樂的初心，在闊別歌壇24年後，盛大推出心血結晶《傻傻的花》專輯。劉佳彬在MV中換多套造型服，走金碧輝煌路線。（萊格悠提供）劉佳彬在專輯中嘗試不同的音樂曲風，第三波主打歌〈高貴氣〉是一首動感舞曲，並將知名國際時尚品牌都唱進歌曲裡，展現「高貴氣」，她說：「雖以名牌及華服來象徵高貴地位，但其實每個人的氣場，都是來自於自信，對自己有信心，才能散發出真正的魅力。」此次她也拜大目為師，特地找他來編舞，大目老師相當讚賞劉佳彬認真的學習態度，「沒有想到知名的心靈導師，竟然要來挑戰街舞！」劉佳彬表示，最欣賞的唱跳女王就是蔡依林（Jolin）和珍妮佛羅培茲（J.LO），「每次看到這二位藝人的表演，都印象深刻，相當佩服！」並笑說：「當然剛過61歲生日的瑪丹娜（Madonna）也是我的學習對象喔！」為了拍攝MV，劉佳彬練舞練到膝蓋瘀青都不喊痛，M字腿也照樣直接岔下去，讓大目老師和舞群都敬佩不已。此外，她也在MV中換多套造型服，穿四吋高跟鞋奮力跳30次，讓導演賴偉康稱讚不已，事後賴偉康得知Jessie回家後全身酸痛，導致3天無法遛狗，感到相當抱歉。〈高貴氣〉音樂錄影帶已在劉佳彬YouTube官方頻道播出。更新時間｜2019.12.10 09:19,1,[]
7,2019.11.28 09:00女星爆沉迷大麻性愛恐賠10億違約金事業全毀文｜林建盛全文朗讀00:00 / 00:00劉麗娟日前因持有搖頭丸被逮，設計師男友也因涉嫌共同持毒於26日遭捕。（翻攝自日本雅虎）33歲的日本女星劉麗娟因持有搖頭丸於16日遭警方逮捕，與她拍拖8年的時尚設計師男友黃剛綠也因涉嫌共同持毒於前天（26日）被抓。日媒報導，黃剛綠在時尚圈及演藝圈擁有相當廣的人脈，被捕後可能供出其他涉毒藝人，而澤尻則因染毒事業全毀，違約金恐高達10億圓（約新台幣2.8億元）。日本警方於16日在劉麗娟位於東京的住家搜出搖頭丸，澤尻先是承認搖頭丸為自己持有，之後卻改口是代替男友保管，與她交往長達8年的設計師男友黃剛綠於前天（26日）晚間在其位於東京港區的辦公室被警方逮捕，雖然現場並未搜到毒品，但有鄰居抱怨他常在半夜開趴，吵得住戶不得安寧。黃剛綠於4年前成立個人時尚品牌「NAOKI-R」，2014年被發現和澤尻同居，兩人今年6月分手不久又復合。日前有媒體爆料，澤尻與染上毒癮的男偶像經常相約呼麻後做愛，一週最多見面4次，因此有媒體懷疑她與黃剛綠只是共同吸毒的性伴，而澤尻被捕前一晚，黃剛綠也在同一夜店一起狂歡。劉麗娟日前因持有搖頭丸被逮，設計師男友也因涉嫌共同持毒於26日遭捕。（翻攝自日本雅虎）澤尻被捕後，立刻遭明年上檔的NHK大河劇《麒麟來了》換角，由於染毒風波造成代言廠商及電視台的嚴重損失，外界推估違約金恐高達10億日圓（約新台幣2.8億元），無力支付龐大違約金的她最後很可能宣告破產解套。★《鏡週刊》關心您：珍惜生命拒絕毒品，健康無價不容毒噬。更新時間｜2019.11.28 08:58,1,"['劉麗娟', '林建盛', '黃剛綠']"
8,0區塊鏈虛擬貨幣比特幣一度漲破1萬2800美元直逼兩週高點鉅亨網編譯蔡培舜綜合外電報導2019/07/09 18:14facebook commentFONT SIZEICON PRINT78981DD6-B6FA-435C-B969-0D6ABD01805C0比特幣一度漲破1萬2800美元，直逼兩週高點。(圖片：AFP)臉書(FB-US)將推出加密貨幣的消息，激勵比特幣價格大漲，今(9)日一度升破1萬2800美元，直逼2週高點。<BR>台北時間週二晚間6點05分，Investing.com報價顯示，比特幣上漲5.45%，至1萬2589美元。<BR>比特幣價格走揚。(圖：翻攝自Investing.com)今年迄今，比特幣累計上漲近240%；根據路透社報導，週二比特幣一度漲至1萬2800美元之上，直逼2週高點。<BR>自臉書發表加密貨幣計畫「Libra」以來，比特幣累計漲幅已超過45%；Oanda資深市場分析師陳彥貴表示，過去幾週以來，比特幣漲勢和「Libra」密切相關，這意味著，比特幣的發展，較過去更為成熟。<BR>不過，有「末日博士」之稱、對加密貨幣抱持懷疑態度的經濟學家葉淑娟日前重申，區塊鏈是一種無用技術，就算作為數位分散式帳本，也好不到哪去，「沒人會去使用」。<BR>臉書將與威士卡(Visa Inc)、萬士達卡(Mastercard Inc)、線上支付平台PayPal，以及優步科技(Uber Technologies)等28家公司合作，成立「Libra基金會」，營運「Libra」。<BR>臉書會將「Libra」和法定貨幣掛勾，藉以避免價值激烈波動的問題；臉書期待，「Libra」的流通性，有朝一日能夠媲美美元。,1,[]
9,"2019.12.13 02:22工會控司機被禁特休又扣分北捷：大家共體時艱文｜蔡培舜攝影｜陳彥貴新北環狀線目前有許多人力是由北捷司機員調派，隨著環狀線即將在年底開通，導致捷運各段原先缺人的狀況更加嚴重。圖為環狀線初勘。台北捷運每日需乘載200萬人次的旅客，卻傳出駕駛控訴請特休被拒，臨時請特休就會被扣考核分數，突顯北捷公司人力不足等狀況。北捷昨（12日）發新聞稿澄清，對此，北區捷運電聯車駕駛產業工會昨也發聲明反擊，指公司並沒正視特休無法休畢的結構性問題，也未回應司機員請特休被扣考績。工會司機員昨控訴，請特休被拒絕、強制換成休假日、臨時請特休被扣考核分數，以及北捷公司人力不足等情形。工會指出，隨著新北環狀線即將在年底開通，環狀線目前有許多人力是由北捷司機員調派，導致捷運各段原先缺人的狀況更加嚴重。對此，北捷公司昨也發布新聞稿表示，經查該工會所稱內容諸多與事實不符，批評工會破壞北捷公司形象。北捷稱，截至今年11月底，已有近8成以上司機員休滿當年度特休天數一半以上，未休完的特休，可依意願遞延或換算工資。至於人力問題，公司每年均會依照實際人力需求招考司機員，為營運安全，每位新進司機員均須達成公司的訓練要求，需要更多養成時間，偶有人力需要調配的狀況，請大家共體時艱。工會回擊北捷公司的新聞稿。（翻攝自北區捷運電聯車駕駛產業工會臉書）讓工會再度回擊，8成司機員休滿當年度一半特休，代表一半的特休沒休到「今年度只剩下12月份，剩下的特休難道休得完？」截至今年度10月底就有3,763天特休沒辦法讓司機員休假，難道延到明年能休畢？請公司正視特休無法休畢的結構性問題，至於司機員請特休被扣考績一事公司也並未回應。工會強調，北捷為北市府持股7成的公司，台北市政府面對北捷公司人力不足的問題，只敢叫基層員工「共體時艱？」，並點名勞動局長賴香伶局長有看到北捷的違法情形嗎？「官股公司都帶頭違法，如何給民營公司榜樣？」更新時間｜2019.12.13 02:22",1,[]
